SNAPSHOT 36: 2017-07-22 22:27:39 	CPU load(%): 10.5	MEM used: 3927920640	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677074, read_bytes=82086723584, write_bytes=332635450368, read_time=34206326, write_time=420409153, read_merged_count=1035844, write_merged_count=5988698, busy_time=46175072)	Network: snetio(bytes_sent=3601840906, bytes_recv=18383836637, packets_sent=11796374, packets_recv=38465507, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 37: 2017-07-22 22:27:40 	CPU load(%): 10.7	MEM used: 3927904256	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677076, read_bytes=82086723584, write_bytes=332635458560, read_time=34206326, write_time=420409153, read_merged_count=1035844, write_merged_count=5988698, busy_time=46175072)	Network: snetio(bytes_sent=3602035106, bytes_recv=18383843971, packets_sent=11796526, packets_recv=38465614, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 38: 2017-07-22 22:27:41 	CPU load(%): 11.0	MEM used: 3928567808	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677083, read_bytes=82086723584, write_bytes=332635491328, read_time=34206326, write_time=420409183, read_merged_count=1035844, write_merged_count=5988699, busy_time=46175102)	Network: snetio(bytes_sent=3602228684, bytes_recv=18383851961, packets_sent=11796672, packets_recv=38465730, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 39: 2017-07-22 22:27:42 	CPU load(%): 15.0	MEM used: 3928322048	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677085, read_bytes=82086723584, write_bytes=332635499520, read_time=34206326, write_time=420409183, read_merged_count=1035844, write_merged_count=5988699, busy_time=46175102)	Network: snetio(bytes_sent=3602433309, bytes_recv=18383864153, packets_sent=11796851, packets_recv=38465893, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 40: 2017-07-22 22:27:43 	CPU load(%): 23.6	MEM used: 3928498176	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677106, read_bytes=82086723584, write_bytes=332635646976, read_time=34206326, write_time=420409299, read_merged_count=1035844, write_merged_count=5988714, busy_time=46175188)	Network: snetio(bytes_sent=3602656323, bytes_recv=18383877883, packets_sent=11797035, packets_recv=38466091, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 41: 2017-07-22 22:27:44 	CPU load(%): 10.8	MEM used: 3928526848	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677108, read_bytes=82086723584, write_bytes=332635655168, read_time=34206326, write_time=420409299, read_merged_count=1035844, write_merged_count=5988714, busy_time=46175188)	Network: snetio(bytes_sent=3602849322, bytes_recv=18383885755, packets_sent=11797181, packets_recv=38466206, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 42: 2017-07-22 22:27:45 	CPU load(%): 11.7	MEM used: 3928141824	Virt mem used: 929226752	IO: sdiskio(read_count=4703874, write_count=18677110, read_bytes=82086723584, write_bytes=332635663360, read_time=34206326, write_time=420409299, read_merged_count=1035844, write_merged_count=5988714, busy_time=46175188)	Network: snetio(bytes_sent=3602978718, bytes_recv=18383891669, packets_sent=11797282, packets_recv=38466292, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 43: 2017-07-22 23:53:52 	CPU load(%): 50.0	MEM used: 4630593536	Virt mem used: 924549120	IO: sdiskio(read_count=4705362, write_count=18700447, read_bytes=82113396736, write_bytes=333039864832, read_time=34218283, write_time=420595863, read_merged_count=1036558, write_merged_count=5995389, busy_time=46242537)	Network: snetio(bytes_sent=3657366973, bytes_recv=18424394556, packets_sent=11894910, packets_recv=38600967, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 44: 2017-07-23 00:12:06 	CPU load(%): 0.0	MEM used: 4581605376	Virt mem used: 924479488	IO: sdiskio(read_count=4705467, write_count=18705493, read_bytes=82113961984, write_bytes=333107653632, read_time=34219168, write_time=420636284, read_merged_count=1036565, write_merged_count=5996578, busy_time=46257952)	Network: snetio(bytes_sent=3672937370, bytes_recv=18426807641, packets_sent=11918509, packets_recv=38629085, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 45: 2017-07-23 00:16:01 	CPU load(%): 40.0	MEM used: 4592312320	Virt mem used: 924471296	IO: sdiskio(read_count=4705467, write_count=18706856, read_bytes=82113961984, write_bytes=333131009024, read_time=34219168, write_time=420647670, read_merged_count=1036565, write_merged_count=5996901, busy_time=46261985)	Network: snetio(bytes_sent=3679054214, bytes_recv=18427625596, packets_sent=11926941, packets_recv=38639327, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 46: 2017-07-23 00:18:02 	CPU load(%): 100.0	MEM used: 4603400192	Virt mem used: 924454912	IO: sdiskio(read_count=4705477, write_count=18707620, read_bytes=82114428928, write_bytes=333141683200, read_time=34219244, write_time=420663192, read_merged_count=1036565, write_merged_count=5997113, busy_time=46264178)	Network: snetio(bytes_sent=3682430550, bytes_recv=18427924163, packets_sent=11930542, packets_recv=38643054, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 47: 2017-07-23 00:19:27 	CPU load(%): 60.0	MEM used: 4610220032	Virt mem used: 924454912	IO: sdiskio(read_count=4705477, write_count=18708895, read_bytes=82114428928, write_bytes=333209152512, read_time=34219244, write_time=420673426, read_merged_count=1036565, write_merged_count=5997454, busy_time=46266527)	Network: snetio(bytes_sent=3683729038, bytes_recv=18428296278, packets_sent=11933465, packets_recv=38647176, errin=0, errout=0, dropin=0, dropout=0)
